source,target,value
"ACCIONA, S.A.","DAURELLA COMADRAN, SOLEDAD",3
"ACCIONA, S.A.","ENTRECANALES DOMECQ, DANIEL",1
"ACCIONA, S.A.","ENTRECANALES DOMECQ, JOSE MANUEL",1
"ACCIONA, S.A.","ENTRECANALES FRANCO, JAVIER",1
"ACCIONA, S.A.","ENTRECANALES FRANCO, JUAN IGNACIO",1
"ACCIONA, S.A.","ESPINOSA DE LOS MONTEROS BERNALDO DE QUIROS, CARLOS",2
"ACCIONA, S.A.","GONZALEZ DURATEZ, MIRIAM",1
"ACCIONA, S.A.","MONTOYA MOYA, VALENTIN",1
"ACCIONA, S.A.","RODES VILA, FERNANDO",1
"ACCIONA, S.A.","URGOITI LOPEZ OCAÑA, JUAN MANUEL",2
"ACCIONA, S.A.","VILLALONGA MORENES, BELEN",1
"LA SEDA DE BARCELONA, S.A.","BA PET BV",1
"LA SEDA DE BARCELONA, S.A.","MORLANES GALINDO, JOSE LUIS",1
"LA SEDA DE BARCELONA, S.A.","RIERA ANDRES, JOSE LUIS",1
"LA SEDA DE BARCELONA, S.A.","SORIA SENDRA, CARLOS",1
"LA SEDA DE BARCELONA, S.A.","TAVARES FERREIRA, JORGE ALEXANDRE",1
"LA SEDA DE BARCELONA, S.A.","TRAUTZ , VOLKER",1
"LA SEDA DE BARCELONA, S.A.","VAN DE WALLE , LESLIE",1
"GAS NATURAL SDG, S.A.","ADELL RAMON, RAMON",1
"GAS NATURAL SDG, S.A.","ALCANTARA-GARCIA IRAZOQUI, ENRIQUE",1
"GAS NATURAL SDG, S.A.","AÑOVEROS TRIAS DE BES, XABIER",1
"GAS NATURAL SDG, S.A.","BRUFAU NIUBO, ANTONIO",2
"GAS NATURAL SDG, S.A.","CARCELLER ARCE, DEMETRIO",4
"GAS NATURAL SDG, S.A.","COBO COBO, SANTIAGO",1
"GAS NATURAL SDG, S.A.","FERNANDEZ-CUESTA LUCA DE TENA, NEMESIO",1
"GAS NATURAL SDG, S.A.","GABARRO SERRA, SALVADOR",2
"GAS NATURAL SDG, S.A.","GONZALEZ MARQUEZ, FELIPE",1
"GAS NATURAL SDG, S.A.","LOPEZ ACHURRA, EMILIANO",1
"GAS NATURAL SDG, S.A.","LOSADA MARRODAN, CARLOS",1
"GAS NATURAL SDG, S.A.","NIN GENOVA, JUAN MARIA",3
"GAS NATURAL SDG, S.A.","PADROL MUNTE, HERIBERT",1
"GAS NATURAL SDG, S.A.","ROSELL LASTORTRAS, JUAN",2
"GAS NATURAL SDG, S.A.","SUAREZ DE LEZO MANTILLA, LUIS",2
"GAS NATURAL SDG, S.A.","VALLS MASEDA, MIGUEL",1
"GAS NATURAL SDG, S.A.","VILLASECA MARCO, RAFAEL",1
"CEMENTOS MOLINS, S.A.","CARTERA DE INVERSIONES C.M., S.A.",1
"CEMENTOS MOLINS, S.A.","DEL CAMPO RODRIGUEZ, MIGUEL",1
"CEMENTOS MOLINS, S.A.","DIAZ-MORERA PUIG-SUREDA, EUSEBIO",2
"CEMENTOS MOLINS, S.A.","FERNANDEZ BESCOS, FRANCISCO JAVIER",1
"CEMENTOS MOLINS, S.A.","FORO FAMILIAR MOLINS, S.L.",1
"CEMENTOS MOLINS, S.A.","GUTIERREZ FERNANDEZ DE LIENCRES, EMILIO",1
"CEMENTOS MOLINS, S.A.","INVERSORA PEDRALBES, S.A.",1
"CEMENTOS MOLINS, S.A.","MOLINS AMAT, JOAQUIN",1
"CEMENTOS MOLINS, S.A.","MOLINS AMAT, JUAN",1
"CEMENTOS MOLINS, S.A.","MOLINS LOPEZ-RODO, JOAQUIN Mª",1
"CEMENTOS MOLINS, S.A.","MOLINS RIBOT, CASIMIRO",1
"CEMENTOS MOLINS, S.A.","NOUMEA, S.A.",1
"MIQUEL Y COSTAS & MIQUEL, S.A.","BANCO MARE NOSTRUM, S.A.",3
"MIQUEL Y COSTAS & MIQUEL, S.A.","BASAÑEZ VILLALUENGA, JAVIER",1
"MIQUEL Y COSTAS & MIQUEL, S.A.","CANET MARTINEZ, ANTONIO",1
"MIQUEL Y COSTAS & MIQUEL, S.A.","COELLO BRUFAU, JOAQUIN",1
"MIQUEL Y COSTAS & MIQUEL, S.A.","DE LA SERNA CORRAL, ALVARO",1
"MIQUEL Y COSTAS & MIQUEL, S.A.","DIAZ-MORERA PUIG-SUREDA, EUSEBIO",2
"MIQUEL Y COSTAS & MIQUEL, S.A.","GASOLIBA BOHM, CARLES-ALFRED",1
"MIQUEL Y COSTAS & MIQUEL, S.A.","JOANFRA, S.A.",1
"MIQUEL Y COSTAS & MIQUEL, S.A.","MERCADER BARATA, JORGE",1
"MIQUEL Y COSTAS & MIQUEL, S.A.","MERCADER MIRO, JORGE",1
"MIQUEL Y COSTAS & MIQUEL, S.A.","NADAL PELLEJERO, JORDI",1
"URBAS GRUPO FINANCIERO, S.A.","AURICI DEL SUR, S.L.",1
"URBAS GRUPO FINANCIERO, S.A.","CORPORATE LEISURE, S.L.",1
"URBAS GRUPO FINANCIERO, S.A.","DARIVENIA MARKETS, S.L.",1
"URBAS GRUPO FINANCIERO, S.A.","ESPARTEL FUND INVESTMENT, S.L.",1
"URBAS GRUPO FINANCIERO, S.A.","EURO COMETA, S.L.",1
"URBAS GRUPO FINANCIERO, S.A.","FOMENTO DE INVERSIONES DIRECTAS, S.L.",1
"URBAS GRUPO FINANCIERO, S.A.","IBAÑEZ FERNANDEZ, JUAN ANTONIO",1
"URBAS GRUPO FINANCIERO, S.A.","RAMOS ATIENZA, LUIS",1
"URBAS GRUPO FINANCIERO, S.A.","TRES CULTURAS DOS ORILLAS, S.L.",1
"MAPFRE, S.A.","BAEZA GOMEZ, IGNACIO",1
"MAPFRE, S.A.","BECA BORREGO, RAFAEL",1
"MAPFRE, S.A.","FONTOIRA SURIS, RAFAEL",1
"MAPFRE, S.A.","GOIRIGOLZARRI TELLAECHE, JOSE IGNACIO",2
"MAPFRE, S.A.","HERNANDO DE LARRAMENDI MARTINEZ, LUIS",1
"MAPFRE, S.A.","HUERTAS MEJIAS, ANTONIO",1
"MAPFRE, S.A.","ITURBE SANZ DE MADRID, LUIS",1
"MAPFRE, S.A.","JIMENEZ HERRADON, ANDRES",1
"MAPFRE, S.A.","LAGARES GOMEZ-ABASCAL, MANUEL",3
"MAPFRE, S.A.","MANZANO MARTOS, ALBERTO",1
"MAPFRE, S.A.","MARQUEZ OSORIO, RAFAEL",1
"MAPFRE, S.A.","MARTIN TABERNERO, FRANCISCA",1
"MAPFRE, S.A.","MIGUEL-ROMERO OLANO, ANTONIO",1
"MAPFRE, S.A.","MIRA CANDEL, FILOMENO",1
"MAPFRE, S.A.","NUÑEZ TOVAR, ANTONIO",1
"MAPFRE, S.A.","PEDRAYES LARRAURI, ESTEBAN",1
"MAPFRE, S.A.","REBUELTA BADIAS, ALFONSO",1
"MAPFRE, S.A.","RUIZ RISUEÑO, FRANCISCO",1
"MAPFRE, S.A.","SALVA BENNASAR, MATIAS",1
"MAPFRE, S.A.","TEJERA MONTALVO, ESTEBAN",1
"MAPFRE, S.A.","VALLEJO VALLEJO, FRANCISCO",1
"COMPANYIA D´AIGÜES DE SABADELL, S.A.","BIGATA RIBE, FRANCISCO JAVIER",1
"COMPANYIA D´AIGÜES DE SABADELL, S.A.","BOSSER TORRENS, MARIA ANGELS",1
"COMPANYIA D´AIGÜES DE SABADELL, S.A.","BUSTOS GARRIDO, FRANCISCO",1
"COMPANYIA D´AIGÜES DE SABADELL, S.A.","BUSTOS GARRIDO, MANUEL",1
"COMPANYIA D´AIGÜES DE SABADELL, S.A.","CAMARA OFICIAL DE COMERCIO E INDUSTRIA DE SABADELL",1
"COMPANYIA D´AIGÜES DE SABADELL, S.A.","ENRICH MULS, CARLES",1
"COMPANYIA D´AIGÜES DE SABADELL, S.A.","ESTRADA ARIMONI, RICARD",1
"COMPANYIA D´AIGÜES DE SABADELL, S.A.","FERRER PERARNAU, JORDI",1
"COMPANYIA D´AIGÜES DE SABADELL, S.A.","FIDUCIARIA DEL VALLES, S.A.",1
"COMPANYIA D´AIGÜES DE SABADELL, S.A.","FUNDACIO PRIVADA GREMI DE FABRICANTS DE SABADELL",1
"COMPANYIA D´AIGÜES DE SABADELL, S.A.","LLONCH ANDREU, JOAN",2
"COMPANYIA D´AIGÜES DE SABADELL, S.A.","MANAU VALOR, JOAN",1
