Empresa,Nombre,% Derechos Voto,Fecha Registro CNMV
"UNIPAPEL, S.A.","MORENO DE TEJADA OLIVA, JOSE MARIA",3.240,15/01/2008
"UNIPAPEL, S.A.","MORENO OLIVA, MARIA ELISA",3.965,15/01/2008
"UNIPAPEL, S.A.",QMC DEVELOPMENT CAPITAL FUND PLC,9.996,18/05/2007
"UNIPAPEL, S.A.","URALDE VAZQUEZ, MARIA NIEVES",6.160,30/11/2007
"PROSEGUR, COMPAÑIA DE SEGURIDAD, S.A.",CANTILLON CAPITAL MANAGEMENT LLC,3.050,12/04/2011
"PROSEGUR, COMPAÑIA DE SEGURIDAD, S.A.","CORPORACION FINANCIERA ALBA, S.A.",10.006,25/09/2007
"PROSEGUR, COMPAÑIA DE SEGURIDAD, S.A.",FIDELITY INTERNATIONAL DISCOVERY FUND,3.587,25/11/2010
"PROSEGUR, COMPAÑIA DE SEGURIDAD, S.A.",FMR LLC,5.061,29/04/2010
"INDRA SISTEMAS, S.A.","BANCO FINANCIERO Y DE AHORROS, S.A.",20.121,06/06/2011
"INDRA SISTEMAS, S.A.",CAJA DE AHORROS DE ASTURIAS,5.000,28/03/2007
"INDRA SISTEMAS, S.A.","CANTABRICA DE INVERSIONES DE CARTERA, S.L.",5.000,28/03/2007
"INDRA SISTEMAS, S.A.","CORPORACION FINANCIERA ALBA, S.A.",10.000,03/07/2009
"INDRA SISTEMAS, S.A.",FID LOW PRICED STOCK FUND,5.675,18/07/2011
"INDRA SISTEMAS, S.A.",FMR LLC,9.962,11/08/2011
"INDRA SISTEMAS, S.A.","LOLLAND, S.A.",5.000,23/11/2006
"LIWE ESPAÑOLA, S.A.","GOMEZ RUBIO, NATALIA",5.270,27/12/2000
"LIWE ESPAÑOLA, S.A.","MARTINEZ CREVILLEN, ENCARNACION",10.012,22/01/2004
"VISCOFAN, S.A.",BLACKROCK INC.,3.140,15/02/2010
"VISCOFAN, S.A.","CAREAGA SALAZAR, MARIA DEL CARMEN",5.002,26/12/2007
"VISCOFAN, S.A.",GOVERNANCE FOR OWNERS LLP,3.054,17/10/2011
"VISCOFAN, S.A.","MARATHON ASSET MANAGEMENT, LLP",5.019,02/11/2009
"VISCOFAN, S.A.","ONCHENA, S.L.",5.002,26/12/2007
"VISCOFAN, S.A.","WILLIAM BLAIR & COMPANY, LLC",3.648,06/06/2011
"AZKOYEN, S.A.","BANKINTER GESTION DE ACTIVOS, S.A., S.G.I.I.C.",4.512,18/03/2008
"AZKOYEN, S.A.","BERKELIUM, S.L.",5.001,12/12/2008
"AZKOYEN, S.A.","BESTINVER GESTION, S.A., S.G.I.I.C.",7.730,31/08/2010
"AZKOYEN, S.A.","EUROFINSA, S.A.",5.004,11/11/2009
"AZKOYEN, S.A.",FIDELITY INTERNATIONAL LIMITED,5.170,24/04/2000
"AZKOYEN, S.A.","INDUMENTA PUERI, S.L.",4.071,17/01/2008
"AZKOYEN, S.A.","INVERSIONES IBERSUIZAS, S.A.",5.318,09/12/2008
"AZKOYEN, S.A.","LA PREVISION MALLORQUINA DE SEGUROS, S.A.",5.246,11/02/2011
"AZKOYEN, S.A.",NORGES BANK,3.366,13/05/2011
"AZKOYEN, S.A.",QMC DEVELOPMENT CAPITAL FUND PLC,11.066,23/08/2005
"AZKOYEN, S.A.","SUAREZ ZULOAGA, RAMON",8.602,19/06/2007
"AZKOYEN, S.A.","TROYAS CAREAGA, MARIA CARMEN",3.709,26/02/2008
"BARON DE LEY, S.A.","BNP PARIBAS, SOCIETE ANONYME",3.340,22/05/2009
"BARON DE LEY, S.A.",FID LOW PRICED STOCK FUND,3.762,15/12/2009
"BARON DE LEY, S.A.",FMR LLC,4.180,14/04/2011
"BARON DE LEY, S.A.","FUNDAÇAO JOSE BERARDO, IPSS",3.225,25/04/2008
"BARON DE LEY, S.A.","LIBERTAS 7, S.A.",5.038,31/08/2010
"BARON DE LEY, S.A.",M & G INVESTMENT MANAGEMENT LTD.,15.535,13/02/2009
"BARON DE LEY, S.A.",M&G GLOBAL BASICS FUND,15.715,21/10/2011
"ADOLFO DOMINGUEZ, S.A.","ANTONIO PUIG, S.A. SOCIEDAD UNIPERSONAL",15.010,24/07/2009
"ADOLFO DOMINGUEZ, S.A.",FMR LLC,3.002,11/09/2009
"ADOLFO DOMINGUEZ, S.A.",FONDO DE REESTRUCTURACION ORDENADA BANCARIA,5.050,14/11/2011
"ADOLFO DOMINGUEZ, S.A.","LA PREVISION MALLORQUINA DE SEGUROS, S.A.",7.664,15/06/2009
"ADOLFO DOMINGUEZ, S.A.","LIBERTAS 7, S.A.",10.433,10/08/2007
"ADOLFO DOMINGUEZ, S.A.","PUIG, S.L.",15.010,24/07/2009
"ADOLFO DOMINGUEZ, S.A.",STATE OF NEW JERSEY COMMON PENSION FUND D,3.010,04/08/2009
"PAPELES Y CARTONES DE EUROPA, S.A.","EBN BANCO DE NEGOCIOS, S.A.",6.104,10/09/2007
"PAPELES Y CARTONES DE EUROPA, S.A.","FERNANDEZ GONZALEZ, ANGEL",6.442,01/03/2007
"PAPELES Y CARTONES DE EUROPA, S.A.","HARPALUS, S.L.",40.028,13/07/2009
"ZELTIA, S.A.","ANDRADE DETRELL, MONTSERRAT",6.100,27/12/2007
"ZELTIA, S.A.",CAJA DE AHORROS Y MONTE DE PIEDAD DE GIPUZKOA Y SAN SEBASTIAN,3.002,30/04/2009
"ZELTIA, S.A.","MERA GOYENECHEA, ROSALIA",5.000,10/12/2002
"GRUPO EMPRESARIAL SAN JOSE, S.A.","AVALOS PEREZ, JULIA",12.627,07/08/2009
"GRUPO EMPRESARIAL SAN JOSE, S.A.",CAJA DE AHORROS DE ASTURIAS,5.545,09/08/2011
"GRUPO EMPRESARIAL SAN JOSE, S.A.","SANCHEZ AVALOS, MARIA JOSE",5.869,07/08/2009
"PESCANOVA, S.A.","ALQUEIRE - COMERCIO INTERNACIONAL, LDA.",5.050,28/06/1994
"PESCANOVA, S.A.","BARRERAS BARRERAS, JOSE ALBERTO",3.847,06/11/2009
"PESCANOVA, S.A.",FBA-THE ICELANDIC INVESTMENT BANK,5.000,19/05/2000
"PESCANOVA, S.A.",GOVERNANCE FOR OWNERS LLP,5.074,09/08/2011
"PESCANOVA, S.A.","NOVA ARDARA EQUITIES, S.A.",5.025,25/05/2000
"PESCANOVA, S.A.","PEREZ-NIEVAS HEREDERO, JOSE ANTONIO",5.010,08/07/2011
"PESCANOVA, S.A.",SOCIEDAD ANONIMA DAMM,5.000,01/07/2011
"PESCANOVA, S.A.",SOCIEDAD ANONIMA DE DESARROLLO Y CONTROL,14.823,18/11/2009
"BANCO SANTANDER, S.A.",BLACKROCK INC.,4.775,04/02/2010
"INMOBILIARIA DEL SUR, S.A.","EXPLOTACIONES EL CERRO, S.A.",8.900,04/05/1995
"INMOBILIARIA DEL SUR, S.A.","PUMAR MARIÑO, CARMEN",3.544,26/06/2009
"INMOBILIARIA DEL SUR, S.A.","PUMAR MARIÑO, JOSE MANUEL",19.963,02/07/2010
"ABENGOA, S.A.","BNP PARIBAS, SOCIETE ANONYME",3.035,14/04/2011
"ABENGOA, S.A.","FINARPISA, S.A.",5.004,09/12/2002
"ABENGOA, S.A.","INVERSION CORPORATIVA, I.C., S.A.",55.004,10/12/2002
"ECCOWOOD INVEST, S.A.","CUBI DEL AMO, MARGARITA",8.321,30/07/2009
"ECCOWOOD INVEST, S.A.",CULTIVOS AGROFORESTALES ECCOWOOD S.A.,5.090,01/07/2009
"ECCOWOOD INVEST, S.A.","GODIA BULL, CARMEN",14.561,06/07/2009
"ECCOWOOD INVEST, S.A.","LADAN 2002, S.L.L",7.281,09/07/2009
"ECCOWOOD INVEST, S.A.","RINACA, S.L.",7.281,26/02/2010
"AGUAS DE VALENCIA, S.A.",GDF SUEZ,33.019,22/10/2007
"AGUAS DE VALENCIA, S.A.","INVERSIONES FINANCIERAS AGVAL, S.L.",60.679,24/10/2007
"AGUAS DE VALENCIA, S.A.","SUEZ ENVIRONNEMENT, S.A.S",33.019,22/10/2007
"BANCO DE VALENCIA, S.A.","BANCO FINANCIERO Y DE AHORROS, S.A.",39.122,25/05/2011
"BANCO DE VALENCIA, S.A.","INTERCARTERA, S.A.",5.000,30/07/2007
"BANCO DE VALENCIA, S.A.","LIBERTAS 7, S.A.",5.167,25/11/2011
"BANCO DE VALENCIA, S.A.","SORMAN, S.A.",3.217,02/07/2008
"BANCO DE VALENCIA, S.A.","UNION DE VALORES, S.A.",6.190,30/07/2007
"COMPAÑIA LEVANTINA DE EDIFICACION Y OBRAS PUBLICAS, S.A.",CAIXA D´ESTALVIS DEL PENEDES,3.709,17/01/2008
"COMPAÑIA LEVANTINA DE EDIFICACION Y OBRAS PUBLICAS, S.A.","CONSTRUCCIONES Y ESTUDIOS, S.A.",5.008,29/10/2009
"COMPAÑIA LEVANTINA DE EDIFICACION Y OBRAS PUBLICAS, S.A.","PARTICIPACIONES INDUSTRIALES Y DE SERVICIOS, S.A.",33.014,09/08/2007
"COMPAÑIA LEVANTINA DE EDIFICACION Y OBRAS PUBLICAS, S.A.","SALAZAR BELLO, ROBERTO ALFONSO",14.619,13/06/2008
"LIBERTAS 7, S.A.","4 GATS, S.L.",6.690,19/11/2007
"LIBERTAS 7, S.A.","DIBU, S.A.",5.784,28/11/2000
"LIBERTAS 7, S.A.","FINANZAS E INVERSIONES VALENCIANAS, S.A.",26.781,15/02/2002
"LIBERTAS 7, S.A.","FUNDACIO DE LA COMUNITAT VALENCIANA, LIBERTAS 7",7.840,06/08/2007
"LIBERTAS 7, S.A.",FUNDACIO GUERRER DE MOIXENT,7.885,28/11/2000
"LIBERTAS 7, S.A.",FUNDACION LIBER,7.835,06/08/2007
"LIBERTAS 7, S.A.","NOGUERA BOREL, ALEJANDRO",6.980,19/02/2008
"LIBERTAS 7, S.A.","NOGUERA BOREL, PABLO",6.983,19/11/2007
"NATRA, S.A.","ADSERA GEBELLI, JAVIER",5.234,02/11/2009
"NATRA, S.A.","BANCO CAM, S.A.",5.339,09/08/2011
"NATRA, S.A.",CAJA DE AHORROS Y MONTE DE PIEDAD DE GIPUZKOA Y SAN SEBASTIAN,8.983,19/05/2009
"NATRA, S.A.","DEL CASTILLO BRAVO DE LAGUNA, PEDRO FERNANDO",3.373,14/06/2011
"NATRA, S.A.","MORENO TARAZONA, MANUEL",10.120,19/10/2009
"NATRA, S.A.","PEREZ-NIEVAS HEREDERO, JOSE ANTONIO",5.015,20/06/2011
"FINANZAS E INVERSIONES VALENCIANAS, S.A.","DESPERTA - FERRO, S.L.",14.960,21/09/1998
"FINANZAS E INVERSIONES VALENCIANAS, S.A.","DIBU, S.A.",4.818,23/12/2010
"FINANZAS E INVERSIONES VALENCIANAS, S.A.","EL PORTAL DE VALLDIGNA, S.A.",5.103,14/01/2004
"FINANZAS E INVERSIONES VALENCIANAS, S.A.","FUNDACIO DE LA COMUNITAT VALENCIANA, LIBERTAS 7",15.303,01/03/2011
"FINANZAS E INVERSIONES VALENCIANAS, S.A.","LIBERTAS 7, S.A.",4.562,18/01/2008
"FINANZAS E INVERSIONES VALENCIANAS, S.A.","NOGUERA BOREL, AGNES",12.878,04/02/2002
"FINANZAS E INVERSIONES VALENCIANAS, S.A.","NOGUERA BOREL, ALEJANDRO",14.960,21/09/1998
"FINANZAS E INVERSIONES VALENCIANAS, S.A.","NOGUERA BOREL, PABLO",14.960,21/09/1998
"FINANZAS E INVERSIONES VALENCIANAS, S.A.","SAMBORI, S.L.",14.960,21/09/1998
"FINANZAS E INVERSIONES VALENCIANAS, S.A.","ZARAGUELL, S.L.",14.960,21/09/1998
"LINGOTES ESPECIALES, S.A.","FAPINDUS, S.L.",3.000,30/06/2008
"EBRO FOODS, S.A.","CASA GRANDE DE CARTAGENA, S.L.",6.158,23/04/2007
"EBRO FOODS, S.A.","CORPORACION FINANCIERA ALBA, S.A.",8.123,12/07/2011
"EBRO FOODS, S.A.","LOLLAND, S.A.",6.158,23/04/2007
"EBRO FOODS, S.A.",SOCIEDAD ANONIMA DAMM,9.651,09/08/2011
"EBRO FOODS, S.A.",SOCIEDAD ESTATAL DE PARTICIPACIONES INDUSTRIALES,10.218,27/09/2011
"VOCENTO, S.A.",ACCION CONCERTADA,5.016,24/03/2009
"VOCENTO, S.A.","CAREAGA SALAZAR, MARIA DEL CARMEN",5.471,18/11/2009
"VOCENTO, S.A.",CASGO S.A.,4.427,17/01/2008
"VOCENTO, S.A.","VALJARAFE, S.L.",10.090,13/04/2010
"BODEGAS BILBAINAS, S.A.","BILBAO BIZKAIA KUTXA, AURREZKI KUTXA ETA BAHITETXEA",5.924,27/11/2008
"BODEGAS BILBAINAS, S.A.","DUCDE, S.A.",87.750,08/03/2001
"BODEGAS BILBAINAS, S.A.","UNIDECO, S.A.",87.750,05/04/2001
"COMPAÑIA VINICOLA DEL NORTE DE ESPAÑA, S.A.","ABELLO GALLO, JUAN",15.140,30/07/2001
"COMPAÑIA VINICOLA DEL NORTE DE ESPAÑA, S.A.","COMENGE SANCHEZ-REAL, JOSE IGNACIO",5.614,16/11/2007
"COMPAÑIA VINICOLA DEL NORTE DE ESPAÑA, S.A.","DESARROLLO MOBILIARIO, S.A.",5.264,08/11/2011
"COMPAÑIA VINICOLA DEL NORTE DE ESPAÑA, S.A.","MENDIBEA 2002, S.L",6.240,10/05/2011
"COMPAÑIA VINICOLA DEL NORTE DE ESPAÑA, S.A.","VALLEJO CHALBAUD, SOFIA",6.710,20/07/2001
"MINERALES Y PRODUCTOS DERIVADOS, S.A.","GARDOQUI E HIJOS, S.L.U.",6.000,25/06/2010
"MINERALES Y PRODUCTOS DERIVADOS, S.A.","LIPPERINVEST 2003, S.L.",12.756,11/10/2010
"MINERALES Y PRODUCTOS DERIVADOS, S.A.",LOMBARD INTERNATIONAL ASSURANCE S.A.,15.699,13/07/2011
"OBRASCON HUARTE LAIN, S.A.","BNP PARIBAS, SOCIETE ANONYME",3.184,04/08/2011
"OBRASCON HUARTE LAIN, S.A.","DEUTSCHE BANK, A.G.",5.270,24/01/2011
"OBRASCON HUARTE LAIN, S.A.","INMOBILIARIA ESPACIO, S.A.",60.030,10/08/2011
"IBERDROLA, S.A.","ACS, ACTIVIDADES DE CONSTRUCCION Y SERVICIOS, S.A.",19.027,16/06/2011
"IBERDROLA, S.A.","BANCAJA INVERSIONES, S.A.",5.408,25/05/2011
"IBERDROLA, S.A.","BANCO FINANCIERO Y DE AHORROS, S.A.",5.408,25/05/2011
"IBERDROLA, S.A.","BILBAO BIZKAIA KUTXA, AURREZKI KUTXA ETA BAHITETXEA",7.184,27/11/2008
"IBERDROLA, S.A.","NATIXIS, S.A.",5.030,03/10/2011
"IBERDROLA, S.A.",QATAR INVESTMENT AUTHORITY,6.162,16/03/2011
"IBERDROLA, S.A.","RESIDENCIAL MONTECARMELO, S.A.",7.774,05/06/2007
"TUBOS REUNIDOS, S.A.",ACCION CONCERTADA,10.223,20/05/2008
"TUBOS REUNIDOS, S.A.","BANCO BILBAO VIZCAYA ARGENTARIA, S.A.",23.403,28/02/2008
"TUBOS REUNIDOS, S.A.","BARANDIARAN ALDAY, GUILLERMO",6.359,28/02/2008
"TUBOS REUNIDOS, S.A.","DE MIGUEL NART, CARMEN",3.816,28/02/2008
"TUBOS REUNIDOS, S.A.","YBARRA CHURRUCA, EMILIO",3.331,15/12/2008
"TUBOS REUNIDOS, S.A.","YBARRA CHURRUCA, SANTIAGO",3.331,15/12/2008
"DEOLEO, S.A.","BANCA CIVICA, S.A.",5.451,30/06/2011
"DEOLEO, S.A.","BANCO FINANCIERO Y DE AHORROS, S.A.",18.623,25/05/2011
"DEOLEO, S.A.","BANCO MARE NOSTRUM, S.A.",5.474,07/10/2011
"DEOLEO, S.A.","BILBAO BIZKAIA KUTXA, AURREZKI KUTXA ETA BAHITETXEA",5.760,10/01/2011
"DEOLEO, S.A.","EBRO FOODS, S.A.",9.333,05/01/2011
"DEOLEO, S.A.",MAO HOLDINGS (CAYMAN) LIMITED,1.891,12/01/2011
"DEOLEO, S.A.","SALAZAR BELLO, JESUS IGNACIO",16.034,10/06/2009
"DEOLEO, S.A.","SALAZAR BELLO, RAUL JAIME",9.659,29/05/2009
"DEOLEO, S.A.","TEINVER, S.A.",3.581,03/02/2009
"ELECNOR, S.A.","CANTILES XXI, S.L.",52.759,22/07/2009
"ELECNOR, S.A.",FONDO DE REESTRUCTURACION ORDENADA BANCARIA,5.049,14/11/2011
"BANCO BILBAO VIZCAYA ARGENTARIA, S.A.",BLACKROCK INC.,4.453,04/02/2010
"BANCO BILBAO VIZCAYA ARGENTARIA, S.A.","JOVE CAPELLAN, MANUEL",5.067,23/12/2010
"DESARROLLOS ESPECIALES DE SISTEMAS DE ANCLAJES, S.A.","GESTION IXUA, S.L.",19.000,02/07/2010
"DESARROLLOS ESPECIALES DE SISTEMAS DE ANCLAJES, S.A.","LAIMPA, S.L.",4.584,02/07/2010
"DESARROLLOS ESPECIALES DE SISTEMAS DE ANCLAJES, S.A.","MADEN, S.A.",19.942,02/07/2010
"DESARROLLOS ESPECIALES DE SISTEMAS DE ANCLAJES, S.A.","MOLLET BIOSCA, PERE",9.091,02/07/2010
"DESARROLLOS ESPECIALES DE SISTEMAS DE ANCLAJES, S.A.","MOST, S.L.",9.068,02/07/2010
"DESARROLLOS ESPECIALES DE SISTEMAS DE ANCLAJES, S.A.","SARM, S.A.",19.915,02/07/2010
"GRIFOLS, S.A.",AMERICAN FUNDS INSURANCE SERIES GROWTH FUND (VIG),3.004,21/04/2010
"GRIFOLS, S.A.",CAPITAL RESEARCH AND MANAGEMENT COMPANY,15.017,04/07/2011
"GRIFOLS, S.A.","DERIA, S.A.",8.771,24/05/2006
"GRIFOLS, S.A.","GRIFOLS LUCAS, VICTOR",6.154,04/12/2009
"GRIFOLS, S.A.","SCRANTON ENTERPRISES, B.V.",7.580,18/06/2010
"AGROFRUSE-MEDITERRANEAN AGRICULTURAL GROUP, S.A.","BORGES HOLDING, S.L.",73.773,09/03/2006
"AGROFRUSE-MEDITERRANEAN AGRICULTURAL GROUP, S.A.","CORPORACION EMPRESARIAL BARCELONESA, S.A.",5.000,19/02/1990
"AGROFRUSE-MEDITERRANEAN AGRICULTURAL GROUP, S.A.","CREDIT AGRICOLE, S.A.",4.070,11/01/2008
"AGROFRUSE-MEDITERRANEAN AGRICULTURAL GROUP, S.A.","FRUSESA-FRUTOS SECOS ESPAÑOLES, S.L.",73.773,19/01/2006
"INMOFIBAN, S.A.","GONZALEZ MORCILLO, SERAFIN",7.445,14/10/2008
"INMOFIBAN, S.A.","MARTINEZ GARCIA, DAVID",8.262,28/05/2009
"INMOFIBAN, S.A.","MARTINEZ GARCIA, LUIS ANGEL",6.356,28/05/2009
"ALMIRALL, S.A.",ACCION CONCERTADA,70.748,08/01/2009
"ALMIRALL, S.A.","WELLINGTON MANAGEMENT COMPANY, LLP",3.024,17/02/2011
"AMCI HABITAT, S.A.","CLAVEL HOTELES, S.A.",5.008,19/06/2009
"AMCI HABITAT, S.A.","FUTURINVEST GESTION, S.L.",5.634,31/03/2009
"AMCI HABITAT, S.A.","MASIP SOLER, CARLOS",5.634,31/03/2009
"AMCI HABITAT, S.A.","ROMERO PIÑERO, JORDI",5.724,06/10/2008
"AMCI HABITAT, S.A.","XIELA TRADING, S.L.",4.383,02/04/2009
"FERGO AISA, S.A.","ALPRIMER 21, S.L.",4.851,21/03/2011
"FERGO AISA, S.A.","CAMINO MARTINEZ, MANUEL",16.566,24/03/2011
"FERGO AISA, S.A.","CARRIS SUCATINGA EMPREENDIMIENTOS INMOBILIARIOS, LTDA",11.896,28/03/2011
"FERGO AISA, S.A.",GEM CAPITAL SAS,"",""
"FERGO AISA, S.A.","GORDONCILLO 08, S.L.",3.284,22/03/2011
"FERGO AISA, S.A.","VERONICA MELE, S.L.",3.539,24/03/2011
"PLARREGA INVEST 2000, S.A.","VANCOUVER GESTIÓN, S.L.",100.000,13/08/2008
"FERSA ENERGIAS RENOVABLES, S.A.","BANCO DE SABADELL, S.A.",3.797,26/02/2008
"FERSA ENERGIAS RENOVABLES, S.A.","BANCO MARE NOSTRUM, S.A.",7.983,07/10/2011
"FERSA ENERGIAS RENOVABLES, S.A.","BCN GODIA, S.L.",4.546,20/02/2009
"FERSA ENERGIAS RENOVABLES, S.A.","CO SOCIEDAD DE GESTION Y PARTICIPACION, S.A.",7.509,24/04/2008
"FERSA ENERGIAS RENOVABLES, S.A.","COMSA EMTE, S.L.",7.682,14/06/2010
"FERSA ENERGIAS RENOVABLES, S.A.","COMSA MEDIOAMBIENTE, S.L.",5.000,23/04/2008
"FERSA ENERGIAS RENOVABLES, S.A.","DONADEU CASTANY, Mª DOLORES",4.043,24/02/2011
"FERSA ENERGIAS RENOVABLES, S.A.","GODIA GUARDIOLA, LILIANA",4.546,20/02/2009
"FERSA ENERGIAS RENOVABLES, S.A.","GRUPO EMPRESARIAL ENHOL, S.L.",22.438,10/08/2011
"FERSA ENERGIAS RENOVABLES, S.A.","LIBANO DAURELLA, ALFONSO",2.697,15/09/2009
"FERSA ENERGIAS RENOVABLES, S.A.","TAMISA, S.L.",5.000,23/04/2008
"RENTA CORPORACION REAL ESTATE, S.A.","AURODOC 75, S.L.",6.282,27/06/2006
"RENTA CORPORACION REAL ESTATE, S.A.","DINOMEN, S.L.",10.828,11/04/2006
"RENTA CORPORACION REAL ESTATE, S.A.","DURANGO DIFFERENT, S.L.",6.005,13/04/2007
"RENTA CORPORACION REAL ESTATE, S.A.","FINANTING 2001, S.L.",5.925,11/04/2006
"RENTA CORPORACION REAL ESTATE, S.A.",FUNDACION PRIVADA RENTA CORPORACION,4.597,11/01/2010
"RENTA CORPORACION REAL ESTATE, S.A.","SDEEGTUTERS, S.L.",5.781,11/04/2006
"RENTA CORPORACION REAL ESTATE, S.A.","TOGA 20, S.L.",5.595,11/04/2006
"VUELING AIRLINES, S.A.","BNP PARIBAS, SOCIETE ANONYME",3.236,23/08/2011
"VUELING AIRLINES, S.A.","INTERNATIONAL CONSOLIDATED AIRLINES GROUP, S.A.",45.850,27/01/2011
"EDP RENOVAVEIS, S.A.","EDP - ELECTRICIDADE DE PORTUGAL, S.A.",77.528,11/06/2008
"RED ELECTRICA CORPORACION, S.A.",FIDELITY INTERNATIONAL LIMITED,1.004,20/04/2009
"RED ELECTRICA CORPORACION, S.A.",FIRST EAGLE INVESTMENT MANGEMENT LLC,3.055,28/06/2011
"RED ELECTRICA CORPORACION, S.A.","HSBC HOLDINGS, PLC.",3.239,11/06/2010
"RED ELECTRICA CORPORACION, S.A.",MFS INVESTMENT MANAGEMENT,3.046,04/11/2011
"RED ELECTRICA CORPORACION, S.A.",SOCIEDAD ESTATAL DE PARTICIPACIONES INDUSTRIALES,20.000,30/09/2005
"RED ELECTRICA CORPORACION, S.A.",TALOS CAPITAL LIMITED,3.087,06/05/2010
"RED ELECTRICA CORPORACION, S.A.",THE CHILDREN S INVESTMENT FUND MANAGEMENT (UK) LLP,3.087,06/05/2010
MELIA HOTELS INTERNATIONAL S.A.,"BANCO CAM, S.A.",6.007,09/08/2011
"REPSOL YPF, S.A.",ACCION CONCERTADA,29.502,06/09/2011
"REPSOL YPF, S.A.",BLACKROCK INC.,3.070,17/03/2011
"REPSOL YPF, S.A.","CAIXABANK, S.A.",12.972,24/01/2011
"REPSOL YPF, S.A.",CAJA DE AHORROS Y PENSIONES DE BARCELONA,12.979,24/01/2011
"REPSOL YPF, S.A.",PETROLEOS MEXICANOS,9.492,19/09/2011
"REPSOL YPF, S.A.","SACYR VALLEHERMOSO PARTICIPACIONES MOBILIARIAS, S.L.",20.010,29/12/2006
"REPSOL YPF, S.A.","SACYR VALLEHERMOSO, S.A.",20.010,29/12/2006
"ANTENA 3 DE TELEVISION, S.A.","BERTELSMANN, A.G.",20.494,11/09/2009
"ANTENA 3 DE TELEVISION, S.A.",FIDELITY INTERNATIONAL LIMITED,1.878,05/08/2011
"ANTENA 3 DE TELEVISION, S.A.","GRUPO PLANETA DE AGOSTINI, S.L.",44.584,14/02/2008
"ANTENA 3 DE TELEVISION, S.A.","PLANETA CORPORACION, S.R.L.",44.584,14/02/2008
"MEDIASET ESPAÑA COMUNICACION, S.A.","BERLUSCONI , SILVIO",41.552,29/12/2010
"MEDIASET ESPAÑA COMUNICACION, S.A.","PROMOTORA DE INFORMACIONES, S.A.",17.336,03/01/2011
"MEDIASET ESPAÑA COMUNICACION, S.A.",TWEEDY BROWNE COMPANY LLC,4.408,07/01/2011
"MARTINSA-FADESA, S.A.","AHORRO CORPORACION FINANCIERA, S.A. SOCIEDAD DE VALORES",5.885,05/11/2008
"MARTINSA-FADESA, S.A.","BANCO FINANCIERO Y DE AHORROS, S.A.",8.045,02/11/2011
"MARTINSA-FADESA, S.A.","MARTIN CRIADO, ANTONIO",15.112,01/09/2008
"MARTINSA-FADESA, S.A.","ORTEGA RENEDO, MARIA DOLORES",7.096,09/06/2009
"MARTINSA-FADESA, S.A.","SALAZAR BELLO, JESUS IGNACIO",3.120,02/09/2008
"CLINICA BAVIERA, S.A.","CORPORACION FINANCIERA ALBA, S.A.",20.002,05/04/2010
"CLINICA BAVIERA, S.A.","INVERSIONES TELESAN, B.V.",5.504,19/11/2007
"CLINICA BAVIERA, S.A.","LLOVET OSUNA, FERNANDO",9.290,13/04/2007
"CLINICA BAVIERA, S.A.","SOUTH AMERICAN FARMING, B.V.",5.000,11/04/2007
"BEFESA MEDIO AMBIENTE, S.A.","ABENGOA, S.A.",97.380,24/05/2011
"BEFESA MEDIO AMBIENTE, S.A.","INVERSION CORPORATIVA, I.C., S.A.",97.380,24/05/2011
"BEFESA MEDIO AMBIENTE, S.A.","PROYECTOS DE INVERSIONES MEDIOAMBIENTALES, S.L.",97.380,24/05/2011
"REALIA BUSINESS, S.A.","BANCO FINANCIERO Y DE AHORROS, S.A.",27.651,25/05/2011
"REALIA BUSINESS, S.A.","CANALES BURGUILLO, LUIS",5.020,16/01/2008
"REALIA BUSINESS, S.A.","FOMENTO DE CONSTRUCCIONES Y CONTRATAS, S.A.",30.023,02/10/2009
"REALIA BUSINESS, S.A.","GRUPO PRA, S.A.",5.004,03/10/2007
"REALIA BUSINESS, S.A.","INMOBILIARIA LUALCA, S.L.",5.020,04/01/2008
"REALIA BUSINESS, S.A.","INTERPROVINCIAL, S.L.",5.007,21/02/2008
"REALIA BUSINESS, S.A.","KOPLOWITZ ROMERO JOSEU, ESTHER",30.023,02/10/2009
"DINAMIA CAPITAL PRIVADO, S.A., SCR","ALLOCATION, SICAV, S.A.",4.990,21/09/2009
"DINAMIA CAPITAL PRIVADO, S.A., SCR","BANCA CIVICA, S.A.",7.519,30/06/2011
"DINAMIA CAPITAL PRIVADO, S.A., SCR","DE CARVAJAL Y PEREZ, EMILIO",5.013,25/05/2007
"DINAMIA CAPITAL PRIVADO, S.A., SCR",ELECTRA PARTNERS LLP,10.442,12/06/2008
"DINAMIA CAPITAL PRIVADO, S.A., SCR",ELECTRA PRIVATE EQUITY PARTNERS 1995,10.442,21/09/2004
"DINAMIA CAPITAL PRIVADO, S.A., SCR","ENTUR-99, S.L.",5.003,08/11/1999
"DINAMIA CAPITAL PRIVADO, S.A., SCR","PACTIO GESTION, SGIIC, S.A.",4.386,15/11/2010
"DINAMIA CAPITAL PRIVADO, S.A., SCR","PORTABELLA PERALTA, RICARDO",21.823,10/05/2011
"DINAMIA CAPITAL PRIVADO, S.A., SCR","SODECAR, S.A.",5.013,23/05/2007
"FERROVIAL, S.A.",ACCION CONCERTADA,45.576,01/07/2011
"FERROVIAL, S.A.","BANCO SANTANDER, S.A.",4.065,14/11/2011
"FERROVIAL, S.A.","SOUTHEASTERN ASSET MANAGEMENT, INC",5.012,24/08/2011
